"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0265719","FBgn0265719",0.933280248835371,1,-55.3362853285557,-56.2594195499708,13,7,25.2339524449965,0,0,0,FALSE
"FBgn0265721","FBgn0265721",0.0423131379589478,0.889161327446956,-79.2181532090921,-85.7410928564953,13,7,194.671558166569,0,0,0,FALSE
"FBgn0265723","FBgn0265723",0.961520531984778,1,-50.3419503510275,-51.0765012723716,13,7,22.5573956617122,0,0,0,FALSE
"FBgn0265726","FBgn0265726",0.221835395214086,1,-128.801981028353,-132.916237465841,13,7,4968.2043379524,0,0,0,FALSE
"FBgn0265727","FBgn0265727",0.411676886107578,1,-87.5838943355467,-90.6357332964796,13,7,328.210718857384,0,0,0,FALSE
"FBgn0265728","FBgn0265728",0.201412313942707,0.988173870153088,-74.2586745650901,-78.5266038320669,13,7,172.785073934499,0,0,0,FALSE
"FBgn0265732","FBgn0265732",0.979246780000711,1,-54.4554114464084,-55.030793292976,13,7,25.0731642499122,0,0,0,FALSE
"FBgn0265737","FBgn0265737",0.994534598593855,1,-52.7011955230919,-53.050184546482,13,7,28.2995363526242,0,0,0,FALSE
"FBgn0265739","FBgn0265739",0.0214823390895496,0.790285153654727,-100.817750707018,-108.241149850882,13,7,797.277257445248,0,0,0,FALSE
"FBgn0265741","FBgn0265741",0.0357746902475683,0.88464877698228,-68.5908232129766,-75.3398386352793,13,7,109.840787787786,0,0,0,FALSE
"FBgn0265746","FBgn0265746",0.575836386520309,1,-62.4044871566786,-64.7810786399166,13,7,54.7816074055427,0,0,0,FALSE
"FBgn0265748","FBgn0265748",0.422407907510844,1,-69.5054454995053,-72.5089387289667,13,7,112.568977562252,0,0,0,FALSE
"FBgn0265750","FBgn0265750",0.325794984252467,1,-81.1534060755563,-84.6268070257499,13,7,180.25097553103,0,0,0,FALSE
"FBgn0265751","FBgn0265751",0.405094581586431,1,-60.1015778727933,-63.1834736550834,13,7,40.303547857412,0,0,0,FALSE
"FBgn0265752","FBgn0265752",0.968077580710741,1,-62.1097457654309,-62.791185019729,13,7,46.0622253172448,0,0,0,FALSE
"FBgn0265753","FBgn0265753",0.279159154088707,1,-57.4306598916765,-61.168053544601,13,7,42.6405108476596,0,0,0,FALSE
"FBgn0265754","FBgn0265754",0.582469290174857,1,-44.3484361853997,-46.6997863060198,13,7,14.2247876677678,0,0,0,FALSE
"FBgn0265756","FBgn0265756",0.809307370314501,1,-41.7360011257756,-43.2341659004477,13,7,9.41495341483829,0,0,0,FALSE
"FBgn0265757","FBgn0265757",0.152735090763846,0.955711968596506,-49.7562562474973,-54.4519346469739,13,7,28.0959586815464,0,0,0,FALSE
"FBgn0265763","FBgn0265763",0.85222699586816,1,-41.2187266924543,-42.5398228539841,13,7,9.24425069101651,0,0,0,FALSE
"FBgn0265764","FBgn0265764",0.99787745685672,1,-47.9958616334256,-48.2442520222937,13,7,24.7198689584024,0,0,0,FALSE
"FBgn0265765","FBgn0265765",0.834289645125658,1,-64.3449365835772,-65.7416573955996,13,7,47.1929643923179,0,0,0,FALSE
"FBgn0265766","FBgn0265766",0.241123582402435,1,-45.4982642103937,-49.4777568361727,13,7,12.4335236614763,0,0,0,FALSE
"FBgn0265767","FBgn0265767",0.948348205962516,1,-53.8603763602229,-54.6891713503729,13,7,28.1358224049888,0,0,0,FALSE
"FBgn0265778","FBgn0265778",0.844329757785239,1,-105.962054112009,-107.316779436018,13,7,2248.59516094388,0,0,0,FALSE
"FBgn0265784","FBgn0265784",0.734240120442353,1,-103.059315619373,-104.845790463949,13,7,1846.81378791035,0,0,0,FALSE
"FBgn0265785","FBgn0265785",0.569952879838973,1,-77.5946175134973,-79.993683168454,13,7,155.899133978621,0,0,0,FALSE
"FBgn0265786","FBgn0265786",0.0023713514549482,0.349946809438704,-49.9273030657419,-60.1162620603784,13,7,31.0602778365198,0,0,0,FALSE
"FBgn0265787","FBgn0265787",0.210454839354897,0.992489445703938,-70.1731297904288,-74.3714909150449,13,7,98.0418968243902,0,0,0,FALSE
"FBgn0265788","FBgn0265788",0.00587077559606667,0.513766249350784,-76.7165704713547,-85.7909966987226,13,7,216.286218603266,0,0,0,FALSE
"FBgn0265789","FBgn0265789",0.400140760982234,1,-72.8178990831903,-75.9226262296652,13,7,135.313702378421,0,0,0,FALSE
"FBgn0265791","FBgn0265791",0.962048811846921,1,-39.1988713844378,-39.9293259500671,13,7,6.85280431122043,0,0,0,FALSE
"FBgn0265792","FBgn0265792",0.56968074851355,1,-51.4172769416565,-53.81738410528,13,7,19.1105570685054,0,0,0,FALSE
"FBgn0265793","FBgn0265793",0.591544478586801,1,-67.9166322974529,-70.2335993572078,13,7,71.2168380881065,0,0,0,FALSE
"FBgn0265798","FBgn0265798",0.219223817210538,1,-58.6026210877447,-62.7358563062604,13,7,42.0440553742036,0,0,0,FALSE
"FBgn0265801","FBgn0265801",0.200040088695904,0.987574594279858,-70.420164662295,-74.6988785248085,13,7,98.2296087982652,0,0,0,FALSE
