"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0261675","FBgn0261675",0.871397532825703,1,-95.3680977386271,-96.604955989434,13,7,228.490434142164,0,0,0,FALSE
"FBgn0261686","FBgn0261686",0.109738161641217,0.566463982331581,-105.57311224271,-110.760404448362,13,7,930.37642646266,0,0,0,FALSE
"FBgn0261698","FBgn0261698",0.461369932559244,1,-58.9718643829569,-61.805943260055,13,7,54.8689897228113,0,0,0,FALSE
"FBgn0261702","FBgn0261702",0.271096401885762,0.854222078219245,-42.6847666326589,-46.4711911648296,13,7,15.9520286249474,0,0,0,FALSE
"FBgn0261703","FBgn0261703",0.438276027646013,1,-101.561133334849,-104.494531480144,13,7,1093.54841248196,0,0,0,FALSE
"FBgn0261705","FBgn0261705",0.9142380088994,1,-50.9781368159048,-52.007399729943,13,7,20.2758536492681,0,0,0,FALSE
"FBgn0261706","FBgn0261706",0.957679155912468,1,-42.7795964574559,-43.5431093670611,13,7,10.7834110096894,0,0,0,FALSE
"FBgn0261707","FBgn0261707",0.0503009904764781,0.412391551312719,-68.9866904506312,-75.2742712387399,13,7,76.8409508036797,0,0,0,FALSE
"FBgn0261710","FBgn0261710",1.49996843310253e-05,0.00279389320173712,-120.559460037651,-136.654824855425,13,7,3935.73766017378,0,0,0,FALSE
"FBgn0261722","FBgn0261722",1,1,-100.463363518072,-100.458574458581,13,7,1585.33176257285,0,0,0,FALSE
"FBgn0261723","FBgn0261723",0.412414376711445,1,-42.1347184774854,-45.1832092518592,13,7,11.8887452327738,0,0,0,FALSE
"FBgn0261786","FBgn0261786",0.096822932074167,0.53589388056702,-79.9924398585264,-85.3613858050365,13,7,383.560149271419,0,0,0,FALSE
"FBgn0261787","FBgn0261787",0.085680564636575,0.514600539062165,-95.9521157762578,-101.496347091737,13,7,1265.60812631731,0,0,0,FALSE
"FBgn0261788","FBgn0261788",0.000347500847400214,0.0279658296904896,-97.8153626491878,-110.294774525747,13,7,1323.79902705512,0,0,0,FALSE
"FBgn0261789","FBgn0261789",0.966569149922324,1,-89.9578475834901,-90.6519737179209,13,7,902.556621463251,0,0,0,FALSE
"FBgn0261790","FBgn0261790",0.702968441459002,1,-87.4152013258536,-89.3179862783872,13,7,721.954471821872,0,0,0,FALSE
"FBgn0261791","FBgn0261791",0.608181298433919,1,-77.2339304483011,-79.4882718462277,13,7,441.982633405243,0,0,0,FALSE
"FBgn0261792","FBgn0261792",0.255732145721709,0.832988424410581,-80.1631515136905,-84.0462854122364,13,7,716.425956483548,0,0,0,FALSE
"FBgn0261793","FBgn0261793",0.0208659697607751,0.294433321754976,-110.049774149555,-117.51115922004,13,7,1928.74939673827,0,0,0,FALSE
"FBgn0261794","FBgn0261794",0.700625844596164,1,-109.106912415831,-111.018371458032,13,7,1755.36975404322,0,0,0,FALSE
"FBgn0261797","FBgn0261797",0.000190798886321397,0.0177472382645278,-117.116467097803,-130.296198971374,13,7,3140.17536843283,0,0,0,FALSE
"FBgn0261799","FBgn0261799",0.509300071730791,1,-39.7064002659764,-42.3429221615457,13,7,5.37811298761755,0,0,0,FALSE
"FBgn0261800","FBgn0261800",0.0461644684587834,0.401516181259841,-92.5968114131304,-99.0015135242193,13,7,691.313190007678,0,0,0,FALSE
"FBgn0261801","FBgn0261801",0.971412036998701,1,-62.8747326265533,-63.5269551018997,13,7,30.8562315350794,0,0,0,FALSE
