"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0034706","FBgn0034706",0.893311547311821,1,-96.8943356722596,-98.0291264505583,13,7,1520.39092378613,0,0,0,FALSE
"FBgn0034707","FBgn0034707",0.960173458605719,1,-76.0213927323862,-76.766260622822,13,7,305.492385623241,0,0,0,FALSE
"FBgn0034708","FBgn0034708",0.887771184935775,1,-99.744666364381,-100.905957609433,13,7,2110.86775890782,0,0,0,FALSE
"FBgn0034709","FBgn0034709",0.985465455238335,1,-120.931349551577,-121.43328109337,13,7,2967.73369208839,0,0,0,FALSE
"FBgn0034710","FBgn0034710",0.945540262528918,1,-48.6287668063425,-49.4760481741106,13,7,8.98352968443033,0,0,0,FALSE
"FBgn0034711","FBgn0034711",0.644021711545152,1,-151.963629717876,-154.084415858606,13,7,9207.04439197793,0,0,0,FALSE
"FBgn0034712","FBgn0034712",0.732117829272518,1,-74.4540828867639,-76.248491768527,13,7,59.9496480452658,0,0,0,FALSE
"FBgn0034713","FBgn0034713",0.0301106258187154,0.218065221658654,-106.914313490474,-113.893235722737,13,7,1549.95667133226,0,0,0,FALSE
"FBgn0034715","FBgn0034715",0.97284643450942,1,-120.032267280898,-120.671364747666,13,7,2129.33924122094,0,0,0,FALSE
"FBgn0034716","FBgn0034716",0.888636213766736,1,-141.020422681264,-142.177610318331,13,7,6484.54415160025,0,0,0,FALSE
"FBgn0034717","FBgn0034717",0.175045074957507,0.752812096016575,-125.529334001552,-130.01633847232,13,7,4015.00175362142,0,0,0,FALSE
"FBgn0034718","FBgn0034718",0.943710562170867,1,-124.210536274001,-125.069617090965,13,7,5257.44288460884,0,0,0,FALSE
"FBgn0034720","FBgn0034720",0.177005981112153,0.75802162506871,-84.4077647970604,-88.8775433527432,13,7,579.658118464217,0,0,0,FALSE
"FBgn0034721","FBgn0034721",0.0638339340674597,0.381179777717116,-97.8307077110278,-103.789476338247,13,7,806.63732891801,0,0,0,FALSE
"FBgn0034722","FBgn0034722",0.00479988909735316,0.0564813840590221,-101.309223489563,-110.633590154975,13,7,1979.48511463443,0,0,0,FALSE
"FBgn0034723","FBgn0034723",0.968604392579302,1,-115.762710167908,-116.439644634757,13,7,4055.42569705786,0,0,0,FALSE
"FBgn0034724","FBgn0034724",0.0288200147665358,0.210410149518144,-103.918680306113,-110.955697001374,13,7,1572.48636267873,0,0,0,FALSE
"FBgn0034725","FBgn0034725",0.832994835159272,1,-59.3499166258507,-60.7519966918797,13,7,47.0426750146287,0,0,0,FALSE
"FBgn0034726","FBgn0034726",0.902368905458447,1,-71.2549234561401,-72.345188658007,13,7,213.460470466713,0,0,0,FALSE
"FBgn0034727","FBgn0034727",0.970252664862227,1,-93.9288646584719,-94.5914409412667,13,7,1116.69034828839,0,0,0,FALSE
"FBgn0034728","FBgn0034728",0.000472124521926089,0.0124036766989325,-93.3889163147535,-105.507960179527,13,7,840.293767344378,0,0,0,FALSE
"FBgn0034729","FBgn0034729",0.935653461521772,1,-85.2691372394774,-86.1781343959718,13,7,441.842058918549,0,0,0,FALSE
"FBgn0034730","FBgn0034730",0.824806480858792,1,-53.595558908727,-55.0312562399355,13,7,16.6183699805632,0,0,0,FALSE
"FBgn0034733","FBgn0034733",0.00171733729150813,0.0280933108562948,-125.0124152149,-135.592200012953,13,7,4164.8452404446,0,0,0,FALSE
"FBgn0034734","FBgn0034734",0.802002096617149,1,-81.2383699468197,-82.7655172316398,13,7,404.730138441714,0,0,0,FALSE
"FBgn0034735","FBgn0034735",0.998495120317305,1,-85.9931588790879,-86.2130954317111,13,7,807.457270891623,0,0,0,FALSE
"FBgn0034736","FBgn0034736",0.927137209094802,1,-91.9046116131521,-92.8633064814178,13,7,208.903300596851,0,0,0,FALSE
"FBgn0034737","FBgn0034737",0.00100685821296147,0.0200270391421868,-83.2044793318609,-94.4251904746436,13,7,409.145394054476,0,0,0,FALSE
"FBgn0034739","FBgn0034739",0.0137055056581014,0.120931440283802,-109.123154504868,-117.127676647916,13,7,687.646226296108,0,0,0,FALSE
"FBgn0034740","FBgn0034740",0.0059720711332388,0.065899851913903,-106.553309229146,-115.606437131199,13,7,655.094657195345,0,0,0,FALSE
"FBgn0034741","FBgn0034741",0.99720180519478,1,-114.842240043067,-115.116331257434,13,7,928.721786871049,0,0,0,FALSE
"FBgn0034742","FBgn0034742",0.804335177778215,1,-100.546023137031,-102.063943535805,13,7,1202.90122539905,0,0,0,FALSE
"FBgn0034743","FBgn0034743",0.342072915000338,1,-148.377069844686,-151.765005165883,13,7,27135.4100303653,0,0,0,FALSE
"FBgn0034744","FBgn0034744",0.976622281760229,1,-98.6974699363082,-99.3001183067377,13,7,1181.35526929316,0,0,0,FALSE
"FBgn0034745","FBgn0034745",7.27833640152888e-08,6.06151623855768e-05,-105.323187409532,-127.340168990971,13,7,1583.66994555173,0,0,0,FALSE
"FBgn0034748","FBgn0034748",0.918536303775533,1,-71.8413078603651,-72.8476069759925,13,7,314.121184507727,0,0,0,FALSE
"FBgn0034750","FBgn0034750",0.988098327963064,1,-90.0954892504182,-90.5609138977714,13,7,691.113741208631,0,0,0,FALSE
"FBgn0034753","FBgn0034753",0.0811040990847844,0.450388064658311,-123.240748246662,-128.863057439509,13,7,7233.35814379691,0,0,0,FALSE
"FBgn0034755","FBgn0034755",0.989650001532278,1,-69.9880617239265,-70.4297436784545,13,7,121.380130584865,0,0,0,FALSE
"FBgn0034756","FBgn0034756",0.524706444561303,1,-84.1790130277474,-86.7540811248207,13,7,275.768881710397,0,0,0,FALSE
"FBgn0034761","FBgn0034761",0.749737038287539,1,-92.3924179977722,-94.1207089549097,13,7,363.45697825916,0,0,0,FALSE
"FBgn0034763","FBgn0034763",0.9583590630364,1,-85.8758832645868,-86.6343703331432,13,7,1029.08183191385,0,0,0,FALSE
"FBgn0034766","FBgn0034766",0.818923354519789,1,-35.3880223563825,-36.8475993345583,13,7,9.2330477024841,0,0,0,FALSE
"FBgn0034768","FBgn0034768",0.942631899078242,1,-49.0186141336015,-49.8845651334332,13,7,11.5995999045627,0,0,0,FALSE
"FBgn0034774","FBgn0034774",0.00191748924128851,0.0299337813219209,-82.5627308003088,-93.0093067431411,13,7,388.524957740208,0,0,0,FALSE
"FBgn0034776","FBgn0034776",0.13236052752505,0.627730263502452,-98.7475345585565,-103.658426241886,13,7,752.250910439839,0,0,0,FALSE
"FBgn0034784","FBgn0034784",0.809411376472973,1,-52.1366237710347,-53.6343739309537,13,7,13.6825338707627,0,0,0,FALSE
"FBgn0034786","FBgn0034786",0.797003044685528,1,-99.2953294231759,-100.842159527313,13,7,1543.3645629395,0,0,0,FALSE
"FBgn0034788","FBgn0034788",0.52655628495103,1,-41.4053673755382,-43.9731144662657,13,7,9.90786344665062,0,0,0,FALSE
"FBgn0034789","FBgn0034789",0.992990129150834,1,-63.7131796369633,-64.0954653984733,13,7,102.04622535837,0,0,0,FALSE
"FBgn0034791","FBgn0034791",0.982484193255832,1,-100.155809273324,-100.694781661953,13,7,1679.70232990126,0,0,0,FALSE
"FBgn0034792","FBgn0034792",0.0482443475756031,0.310177042746175,-117.731448394489,-124.076087192388,13,7,4931.5816812361,0,0,0,FALSE
"FBgn0034793","FBgn0034793",0.818239869795712,1,-95.2697475175687,-96.7320848802909,13,7,1030.28112589052,0,0,0,FALSE
