"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0031613","FBgn0031613",0.0628550244931838,0.241254400480691,-41.5234950876215,-46.7607263503532,7,2,160.163142619313,0,0,FALSE
"FBgn0031617","FBgn0031617",0.919389792215595,0.999999795904049,-80.2094730513058,-80.9316984020933,7,2,25695.0292513063,0,0,FALSE
"FBgn0031620","FBgn0031620",0.0241350973158179,0.142916776170574,-59.3301017126372,-65.7903605881503,7,2,1929.11999099516,0,0,FALSE
"FBgn0031621","FBgn0031621",0.345465223274841,0.723590733925853,-35.4635078416046,-38.2711726241343,7,2,71.274188981459,0,0,FALSE
"FBgn0031622","FBgn0031622",0.496736268831161,0.891705286688964,-37.5790250711676,-39.7666856553223,7,2,75.7058333536686,0,0,FALSE
"FBgn0031623","FBgn0031623",0.103691311527495,0.331102792248114,-44.1263265011979,-48.6952409356448,7,2,216.355966924909,0,0,FALSE
"FBgn0031626","FBgn0031626",0.0520007978818439,0.214987881315067,-59.7865296752577,-65.2709623614907,7,2,1939.22379298342,0,0,FALSE
"FBgn0031627","FBgn0031627",0.417813449212189,0.808265255024741,-29.2268004473685,-31.7188924378813,7,2,56.3650801002732,0,0,FALSE
"FBgn0031628","FBgn0031628",0.221169458378665,0.546806194521611,-39.7153689156194,-43.2118150333223,7,2,269.963188657605,0,0,FALSE
"FBgn0031629","FBgn0031629",0.000797807421398213,0.0190955547255005,-51.4238438596843,-61.9413590366842,7,2,1445.09680942066,0,0,FALSE
"FBgn0031630","FBgn0031630",0.723672064253995,0.999999795904049,-36.1161620039601,-37.5392968491636,7,2,122.653420126639,0,0,FALSE
"FBgn0031631","FBgn0031631",0.05185089856937,0.214924890991214,-39.6568640311255,-45.1450394386239,7,2,170.174284648993,0,0,FALSE
"FBgn0031632","FBgn0031632",0.463742259006112,0.859814500874415,-40.2939423375631,-42.6048879408932,7,2,338.131405020451,0,0,FALSE
"FBgn0031633","FBgn0031633",0.753065804902949,0.999999795904049,-46.0493546010741,-47.3766123726704,7,2,1152.38849878346,0,0,FALSE
"FBgn0031634","FBgn0031634",0.950888126054873,0.999999795904049,-28.4060035707143,-28.9738929874447,7,2,38.0266850368933,0,0,FALSE
"FBgn0031635","FBgn0031635",0.192030835932931,0.499872795079549,-54.0405130800185,-57.7444431239356,7,2,2523.04536024174,0,0,FALSE
"FBgn0031636","FBgn0031636",0.999747195713667,0.999999795904049,-43.4489669518732,-43.5088299052751,7,2,566.00982884155,0,0,FALSE
"FBgn0031637","FBgn0031637",0.0100939309714624,0.0927828102904464,-54.7578403275748,-62.2896502666398,7,2,4768.54184591886,0,0,FALSE
"FBgn0031638","FBgn0031638",0.1988240013477,0.510770166881062,-49.0265218261044,-52.6797799278099,7,2,943.860857807572,0,0,FALSE
"FBgn0031639","FBgn0031639",0.956706857182523,0.999999795904049,-43.4921534595594,-44.0272559242242,7,2,606.979248961425,0,0,FALSE
"FBgn0031640","FBgn0031640",0.924499872219993,0.999999795904049,-44.107741465355,-44.8068881344464,7,2,829.523001848311,0,0,FALSE
"FBgn0031643","FBgn0031643",0.289770643068431,0.64905532644769,-55.87419868469,-58.9605741187308,7,2,2411.41972404133,0,0,FALSE
"FBgn0031644","FBgn0031644",0.0266881399288065,0.150539366931649,-50.3402396088027,-56.674645201107,7,2,639.130517433969,0,0,FALSE
"FBgn0031645","FBgn0031645",4.64059979542348e-19,2.3206313691257e-16,-56.9011460476418,-104.661262014838,7,2,2880.29561731582,0,0,FALSE
"FBgn0031646","FBgn0031646",0.0481198243602927,0.205921082118832,-29.0161681312759,-34.6009486388154,7,2,53.2245246459322,0,0,FALSE
"FBgn0031649","FBgn0031649",0.17166562762079,0.463937872601099,-45.9472683339373,-49.8130315711803,7,2,321.511310254227,0,0,FALSE
"FBgn0031651","FBgn0031651",0.865049459703718,0.999999795904049,-45.1261060347864,-46.0677416186562,7,2,697.892385761774,0,0,FALSE
"FBgn0031652","FBgn0031652",0.897137426808037,0.999999795904049,-41.2923662187634,-42.1092441184846,7,2,432.77457953426,0,0,FALSE
"FBgn0031653","FBgn0031653",0.344665027888432,0.722813444738139,-66.1515188885711,-68.9629338077668,7,2,2965.71978863955,0,0,FALSE
"FBgn0031654","FBgn0031654",0.770051559128291,0.999999795904049,-47.7542042555369,-49.025552682384,7,2,201.358511269639,0,0,FALSE
"FBgn0031655","FBgn0031655",0.47225766585361,0.86710619424105,-38.16853648997,-40.4471714969131,7,2,218.297060481983,0,0,FALSE
"FBgn0031657","FBgn0031657",0.416237337069703,0.806698489069255,-43.4602980332847,-45.9588352293844,7,2,475.740522216947,0,0,FALSE
"FBgn0031659","FBgn0031659",0.238173236577617,0.572581711458211,-53.0120832119243,-56.3979786479965,7,2,1487.46255157488,0,0,FALSE
"FBgn0031660","FBgn0031660",0.974038574153633,0.999999795904049,-53.2528455383025,-53.6756126675743,7,2,2308.87807566854,0,0,FALSE
"FBgn0031661","FBgn0031661",0.979841386135887,0.999999795904049,-51.3296305101858,-51.7069045140693,7,2,1073.74225311926,0,0,FALSE
"FBgn0031662","FBgn0031662",0.0140098723494208,0.109102465315122,-46.7597507895325,-53.8923404722065,7,2,1418.94372980833,0,0,FALSE
"FBgn0031663","FBgn0031663",0.90242647084361,0.999999795904049,-38.9899378014654,-39.7850603795368,7,2,383.045298645833,0,0,FALSE
